call_id,date,daily_caller,call_started,call_answered,call_ended,service_length,meets_standard
83,1/1/2021,83,1:38:38 PM,1:38:38 PM,1:39:47 PM,69,TRUE
84,1/1/2021,84,1:43:29 PM,1:43:29 PM,2:08:50 PM,1521,TRUE
85,1/1/2021,85,1:48:25 PM,1:48:25 PM,1:50:03 PM,98,TRUE
86,1/1/2021,86,1:52:34 PM,1:52:34 PM,2:03:19 PM,645,TRUE
87,1/1/2021,87,1:55:12 PM,1:55:12 PM,1:55:51 PM,39,TRUE
88,1/1/2021,88,2:01:05 PM,2:01:05 PM,2:04:35 PM,210,TRUE
89,1/1/2021,89,2:09:53 PM,2:09:53 PM,2:10:42 PM,49,TRUE
90,1/1/2021,90,2:10:01 PM,2:10:01 PM,2:11:25 PM,84,TRUE
91,1/1/2021,91,2:11:42 PM,2:11:42 PM,2:16:11 PM,269,TRUE
92,1/1/2021,92,2:11:59 PM,2:11:59 PM,2:12:27 PM,28,TRUE
93,1/1/2021,93,2:13:16 PM,2:13:16 PM,2:15:37 PM,141,TRUE
94,1/1/2021,94,2:15:26 PM,2:15:26 PM,2:18:09 PM,163,TRUE
95,1/1/2021,95,2:15:28 PM,2:15:28 PM,2:18:37 PM,189,TRUE
96,1/1/2021,96,2:23:38 PM,2:23:38 PM,2:28:45 PM,308,TRUE
97,1/1/2021,97,2:25:24 PM,2:25:24 PM,2:26:28 PM,64,TRUE
98,1/1/2021,98,2:27:34 PM,2:27:34 PM,2:37:15 PM,580,TRUE
99,1/1/2021,99,2:29:15 PM,2:29:15 PM,2:29:50 PM,35,TRUE
100,1/1/2021,100,2:37:03 PM,2:37:03 PM,2:39:24 PM,141,TRUE
101,1/1/2021,101,2:40:39 PM,2:40:39 PM,2:41:14 PM,35,TRUE
102,1/1/2021,102,2:44:41 PM,2:44:41 PM,2:48:46 PM,244,TRUE
103,1/1/2021,103,2:45:17 PM,2:45:17 PM,2:49:16 PM,239,TRUE
104,1/1/2021,104,2:46:22 PM,2:46:22 PM,2:48:01 PM,100,TRUE
105,1/1/2021,105,2:48:18 PM,2:48:18 PM,2:51:29 PM,191,TRUE
106,1/1/2021,106,2:50:42 PM,2:50:42 PM,2:52:27 PM,104,TRUE
107,1/1/2021,107,2:52:32 PM,2:52:32 PM,2:58:30 PM,359,TRUE
108,1/1/2021,108,2:57:33 PM,2:57:33 PM,2:59:11 PM,98,TRUE
109,1/1/2021,109,3:01:09 PM,3:01:09 PM,3:02:31 PM,82,TRUE
110,1/1/2021,110,3:12:59 PM,3:12:59 PM,3:15:23 PM,144,TRUE
111,1/1/2021,111,3:14:00 PM,3:14:00 PM,3:21:46 PM,466,TRUE
112,1/1/2021,112,3:20:04 PM,3:20:04 PM,3:26:40 PM,396,TRUE
113,1/1/2021,113,3:24:53 PM,3:24:53 PM,3:29:46 PM,293,TRUE
114,1/1/2021,114,3:28:45 PM,3:28:45 PM,3:29:07 PM,23,TRUE
115,1/1/2021,115,3:31:19 PM,3:31:19 PM,3:44:24 PM,786,TRUE
116,1/1/2021,116,3:36:03 PM,3:36:03 PM,3:42:41 PM,398,TRUE
117,1/1/2021,117,3:40:06 PM,3:40:06 PM,3:44:08 PM,242,TRUE
118,1/1/2021,118,3:45:26 PM,3:45:26 PM,3:45:51 PM,25,TRUE
119,1/1/2021,119,3:48:00 PM,3:48:00 PM,3:48:27 PM,27,TRUE
120,1/1/2021,120,3:57:47 PM,3:57:47 PM,3:59:31 PM,104,TRUE
121,1/1/2021,121,4:01:34 PM,4:01:34 PM,4:07:31 PM,357,TRUE
122,1/1/2021,122,4:02:40 PM,4:02:40 PM,4:10:29 PM,469,TRUE
123,1/1/2021,123,4:04:17 PM,4:04:17 PM,4:04:32 PM,14,TRUE
124,1/1/2021,124,4:04:35 PM,4:04:35 PM,4:05:13 PM,39,TRUE
125,1/1/2021,125,4:05:44 PM,4:05:44 PM,4:13:34 PM,470,TRUE
126,1/1/2021,126,4:19:27 PM,4:19:27 PM,4:22:41 PM,194,TRUE
127,1/1/2021,127,4:21:43 PM,4:21:43 PM,4:26:46 PM,303,TRUE
128,1/1/2021,128,4:22:24 PM,4:22:24 PM,4:26:31 PM,247,TRUE
129,1/1/2021,129,4:32:29 PM,4:32:29 PM,4:36:00 PM,210,TRUE
130,1/1/2021,130,4:37:36 PM,4:37:36 PM,4:46:39 PM,543,TRUE
131,1/1/2021,131,4:45:07 PM,4:45:07 PM,4:57:22 PM,735,TRUE
132,1/1/2021,132,4:51:02 PM,4:51:02 PM,5:10:03 PM,1141,TRUE
133,1/1/2021,133,4:53:58 PM,4:53:58 PM,5:01:56 PM,478,TRUE
134,1/1/2021,134,4:54:24 PM,4:54:24 PM,4:54:58 PM,34,TRUE
135,1/1/2021,135,5:00:47 PM,5:00:47 PM,5:03:20 PM,153,TRUE
136,1/1/2021,136,5:03:27 PM,5:03:27 PM,5:05:04 PM,97,TRUE
137,1/1/2021,137,5:05:08 PM,5:05:08 PM,5:07:47 PM,159,TRUE
138,1/1/2021,138,5:11:17 PM,5:11:17 PM,5:18:55 PM,459,TRUE
139,1/1/2021,139,5:28:48 PM,5:28:48 PM,5:29:39 PM,52,TRUE
140,1/1/2021,140,5:30:19 PM,5:30:19 PM,5:32:23 PM,124,TRUE
141,1/1/2021,141,5:31:47 PM,5:31:47 PM,5:38:39 PM,412,TRUE
142,1/1/2021,142,5:32:56 PM,5:32:56 PM,5:33:14 PM,18,TRUE
143,1/1/2021,143,5:33:15 PM,5:33:15 PM,5:39:28 PM,373,TRUE
144,1/1/2021,144,5:38:43 PM,5:38:43 PM,5:43:42 PM,298,TRUE
145,1/1/2021,145,5:49:28 PM,5:49:28 PM,5:51:46 PM,139,TRUE
146,1/1/2021,146,5:54:24 PM,5:54:24 PM,5:56:19 PM,115,TRUE
147,1/4/2021,1,8:00:00 AM,8:00:00 AM,8:04:52 AM,293,TRUE
148,1/4/2021,2,8:00:22 AM,8:00:22 AM,8:01:11 AM,48,TRUE
149,1/4/2021,3,8:00:38 AM,8:00:38 AM,8:03:33 AM,175,TRUE
150,1/4/2021,4,8:02:49 AM,8:02:49 AM,8:04:10 AM,81,TRUE
151,1/4/2021,5,8:03:34 AM,8:03:34 AM,8:04:04 AM,31,TRUE
152,1/4/2021,6,8:07:27 AM,8:07:27 AM,8:08:05 AM,38,TRUE
153,1/4/2021,7,8:25:36 AM,8:25:36 AM,8:33:56 AM,500,TRUE
154,1/4/2021,8,8:31:31 AM,8:31:31 AM,8:36:08 AM,277,TRUE
155,1/4/2021,9,8:33:52 AM,8:33:52 AM,8:36:46 AM,174,TRUE
156,1/4/2021,10,8:36:20 AM,8:36:20 AM,8:38:58 AM,158,TRUE
157,1/4/2021,11,8:45:44 AM,8:45:44 AM,8:49:08 AM,204,TRUE
158,1/4/2021,12,8:45:45 AM,8:45:45 AM,8:58:17 AM,752,TRUE
159,1/4/2021,13,8:51:21 AM,8:51:21 AM,8:56:16 AM,295,TRUE
160,1/4/2021,14,9:08:03 AM,9:08:03 AM,9:12:10 AM,247,TRUE
161,1/4/2021,15,9:13:30 AM,9:13:30 AM,9:26:18 AM,768,TRUE
162,1/4/2021,16,9:21:10 AM,9:21:10 AM,9:24:27 AM,197,TRUE
163,1/4/2021,17,9:24:10 AM,9:24:10 AM,9:42:54 AM,1124,TRUE
164,1/4/2021,18,9:25:03 AM,9:25:03 AM,9:31:26 AM,383,TRUE
165,1/4/2021,19,9:27:21 AM,9:27:21 AM,9:31:07 AM,225,TRUE
166,1/4/2021,20,9:45:34 AM,9:45:34 AM,9:45:42 AM,8,TRUE
167,1/4/2021,21,10:01:06 AM,10:01:06 AM,10:03:43 AM,157,TRUE
168,1/4/2021,22,10:02:57 AM,10:02:57 AM,10:18:02 AM,904,TRUE
169,1/4/2021,23,10:03:16 AM,10:03:16 AM,10:09:59 AM,402,TRUE
170,1/4/2021,24,10:08:37 AM,10:08:37 AM,10:09:48 AM,70,TRUE
171,1/4/2021,25,10:13:01 AM,10:13:01 AM,10:14:20 AM,78,TRUE
172,1/4/2021,26,10:14:35 AM,10:14:35 AM,10:26:46 AM,731,TRUE
173,1/4/2021,27,10:17:41 AM,10:17:41 AM,10:17:53 AM,12,TRUE
174,1/4/2021,28,10:34:11 AM,10:34:11 AM,10:39:34 AM,323,TRUE
175,1/4/2021,29,10:35:14 AM,10:35:14 AM,10:41:41 AM,388,TRUE
176,1/4/2021,30,10:41:16 AM,10:41:16 AM,10:42:20 AM,64,TRUE
177,1/4/2021,31,10:49:01 AM,10:49:01 AM,10:50:49 AM,108,TRUE
178,1/4/2021,32,10:50:10 AM,10:50:10 AM,11:00:23 AM,613,TRUE
179,1/4/2021,33,10:57:33 AM,10:57:33 AM,10:57:38 AM,6,TRUE
180,1/4/2021,34,11:02:24 AM,11:02:24 AM,11:03:33 AM,69,TRUE
181,1/4/2021,35,11:08:17 AM,11:08:17 AM,11:08:53 AM,36,TRUE
182,1/4/2021,36,11:15:17 AM,11:15:17 AM,11:23:16 AM,479,TRUE
183,1/4/2021,37,11:17:32 AM,11:17:32 AM,11:21:13 AM,221,TRUE
184,1/4/2021,38,11:20:30 AM,11:20:30 AM,11:27:13 AM,403,TRUE
185,1/4/2021,39,11:29:43 AM,11:29:43 AM,11:30:11 AM,28,TRUE
186,1/4/2021,40,11:34:38 AM,11:34:38 AM,11:39:24 AM,286,TRUE
187,1/4/2021,41,11:41:12 AM,11:41:12 AM,11:41:13 AM,2,TRUE
188,1/4/2021,42,11:41:22 AM,11:41:22 AM,11:49:27 AM,485,TRUE
189,1/4/2021,43,11:43:27 AM,11:43:27 AM,11:47:52 AM,265,TRUE
190,1/4/2021,44,11:52:56 AM,11:52:56 AM,12:03:40 PM,644,TRUE
191,1/4/2021,45,11:53:15 AM,11:53:15 AM,12:13:35 PM,1220,TRUE
192,1/4/2021,46,11:56:11 AM,11:56:11 AM,11:58:12 AM,122,TRUE
193,1/4/2021,47,12:11:42 PM,12:11:42 PM,12:11:48 PM,6,TRUE
194,1/4/2021,48,12:18:28 PM,12:18:28 PM,12:27:23 PM,535,TRUE
195,1/4/2021,49,12:29:45 PM,12:29:45 PM,12:30:06 PM,21,TRUE
196,1/4/2021,50,12:31:33 PM,12:31:33 PM,12:34:25 PM,172,TRUE
197,1/4/2021,51,12:35:40 PM,12:35:40 PM,12:38:19 PM,159,TRUE
198,1/4/2021,52,12:41:49 PM,12:41:49 PM,12:41:59 PM,10,TRUE
199,1/4/2021,53,12:51:53 PM,12:51:53 PM,12:56:25 PM,272,TRUE
200,1/4/2021,54,12:53:16 PM,12:53:16 PM,1:03:27 PM,612,TRUE
201,1/4/2021,55,12:55:45 PM,12:55:45 PM,1:01:21 PM,336,TRUE
202,1/4/2021,56,1:00:48 PM,1:00:48 PM,1:02:07 PM,80,TRUE
203,1/4/2021,57,1:03:20 PM,1:03:20 PM,1:05:33 PM,133,TRUE
204,1/4/2021,58,1:05:58 PM,1:05:58 PM,1:16:10 PM,612,TRUE
205,1/4/2021,59,1:06:15 PM,1:06:15 PM,1:12:28 PM,373,TRUE
206,1/4/2021,60,1:07:06 PM,1:07:06 PM,1:11:38 PM,272,TRUE
207,1/4/2021,61,1:09:47 PM,1:09:47 PM,1:16:53 PM,426,TRUE
208,1/4/2021,62,1:10:31 PM,1:11:38 PM,1:15:37 PM,238,FALSE
209,1/4/2021,63,1:11:54 PM,1:12:28 PM,1:19:08 PM,400,TRUE
210,1/4/2021,64,1:13:08 PM,1:15:37 PM,1:27:35 PM,718,FALSE
211,1/4/2021,65,1:20:27 PM,1:20:27 PM,1:21:08 PM,42,TRUE
212,1/4/2021,66,1:21:08 PM,1:21:08 PM,1:22:24 PM,76,TRUE
213,1/4/2021,67,1:23:47 PM,1:23:47 PM,1:29:24 PM,337,TRUE
214,1/4/2021,68,1:26:58 PM,1:26:58 PM,1:28:33 PM,95,TRUE
215,1/4/2021,69,1:27:06 PM,1:27:06 PM,1:29:33 PM,147,TRUE
216,1/4/2021,70,1:37:39 PM,1:37:39 PM,1:40:13 PM,155,TRUE
217,1/4/2021,71,1:40:57 PM,1:40:57 PM,1:44:32 PM,215,TRUE
218,1/4/2021,72,1:41:11 PM,1:41:11 PM,1:46:27 PM,316,TRUE
219,1/4/2021,73,1:41:40 PM,1:41:40 PM,1:42:21 PM,41,TRUE
220,1/4/2021,74,1:55:00 PM,1:55:00 PM,2:09:53 PM,893,TRUE
221,1/4/2021,75,1:58:08 PM,1:58:08 PM,2:00:41 PM,153,TRUE
222,1/4/2021,76,2:06:09 PM,2:06:09 PM,2:06:34 PM,25,TRUE
223,1/4/2021,77,2:06:44 PM,2:06:44 PM,2:10:18 PM,214,TRUE
224,1/4/2021,78,2:15:46 PM,2:15:46 PM,2:36:50 PM,1264,TRUE
225,1/4/2021,79,2:20:18 PM,2:20:18 PM,2:21:44 PM,85,TRUE
226,1/4/2021,80,2:23:19 PM,2:23:19 PM,2:28:10 PM,291,TRUE
227,1/4/2021,81,2:30:34 PM,2:30:34 PM,2:35:37 PM,303,TRUE
228,1/4/2021,82,2:32:31 PM,2:32:31 PM,2:37:45 PM,315,TRUE
229,1/4/2021,83,2:41:09 PM,2:41:09 PM,2:43:54 PM,165,TRUE
230,1/4/2021,84,2:41:53 PM,2:41:53 PM,2:43:19 PM,86,TRUE
231,1/4/2021,85,2:42:30 PM,2:42:30 PM,2:49:34 PM,424,TRUE
232,1/4/2021,86,2:46:26 PM,2:46:26 PM,3:03:17 PM,1011,TRUE
233,1/4/2021,87,2:54:29 PM,2:54:29 PM,3:09:18 PM,889,TRUE
234,1/4/2021,88,2:54:38 PM,2:54:38 PM,2:55:50 PM,72,TRUE
235,1/4/2021,89,3:02:32 PM,3:02:32 PM,3:10:41 PM,489,TRUE
236,1/4/2021,90,3:08:59 PM,3:08:59 PM,3:28:01 PM,1142,TRUE
237,1/4/2021,91,3:09:38 PM,3:09:38 PM,3:13:25 PM,227,TRUE
238,1/4/2021,92,3:20:45 PM,3:20:45 PM,3:26:03 PM,317,TRUE
239,1/4/2021,93,3:22:27 PM,3:22:27 PM,3:33:21 PM,654,TRUE
240,1/4/2021,94,3:23:13 PM,3:23:13 PM,3:35:21 PM,729,TRUE
241,1/4/2021,95,3:24:55 PM,3:26:03 PM,3:28:42 PM,159,FALSE
242,1/4/2021,96,3:25:33 PM,3:28:01 PM,3:29:01 PM,60,FALSE
243,1/4/2021,97,3:32:44 PM,3:32:44 PM,3:35:33 PM,169,TRUE
244,1/4/2021,98,3:32:59 PM,3:32:59 PM,3:39:38 PM,399,TRUE
245,1/4/2021,99,3:36:09 PM,3:36:09 PM,3:42:09 PM,360,TRUE
246,1/4/2021,100,3:37:05 PM,3:37:05 PM,3:37:15 PM,10,TRUE
247,1/4/2021,101,3:42:29 PM,3:42:29 PM,3:49:43 PM,434,TRUE
248,1/4/2021,102,3:44:07 PM,3:44:07 PM,3:46:50 PM,163,TRUE
249,1/4/2021,103,3:44:54 PM,3:44:54 PM,3:48:05 PM,191,TRUE
250,1/4/2021,104,3:51:40 PM,3:51:40 PM,3:57:40 PM,360,TRUE
251,1/4/2021,105,3:56:10 PM,3:56:10 PM,4:11:58 PM,948,TRUE
252,1/4/2021,106,3:56:45 PM,3:56:45 PM,4:00:33 PM,228,TRUE
253,1/4/2021,107,3:58:57 PM,3:58:57 PM,4:01:57 PM,180,TRUE
254,1/4/2021,108,4:00:14 PM,4:00:14 PM,4:07:22 PM,427,TRUE
255,1/4/2021,109,4:16:16 PM,4:16:16 PM,4:16:43 PM,27,TRUE
256,1/4/2021,110,4:16:38 PM,4:16:38 PM,4:19:57 PM,199,TRUE
257,1/4/2021,111,4:25:36 PM,4:25:36 PM,4:25:47 PM,10,TRUE
258,1/4/2021,112,4:28:23 PM,4:28:23 PM,4:31:42 PM,199,TRUE
259,1/4/2021,113,4:33:08 PM,4:33:08 PM,4:40:15 PM,428,TRUE
260,1/4/2021,114,4:38:39 PM,4:38:39 PM,4:44:47 PM,368,TRUE
261,1/4/2021,115,4:39:37 PM,4:39:37 PM,4:41:51 PM,134,TRUE
262,1/4/2021,116,4:51:12 PM,4:51:12 PM,5:05:39 PM,867,TRUE
263,1/4/2021,117,4:51:12 PM,4:51:12 PM,4:58:35 PM,443,TRUE
264,1/4/2021,118,4:51:29 PM,4:51:29 PM,4:57:15 PM,346,TRUE
265,1/4/2021,119,4:51:57 PM,4:51:57 PM,4:52:55 PM,58,TRUE
266,1/4/2021,120,4:52:19 PM,4:52:55 PM,4:55:30 PM,156,TRUE
267,1/4/2021,121,4:52:45 PM,4:55:30 PM,4:55:54 PM,23,FALSE
268,1/4/2021,122,4:53:28 PM,4:55:54 PM,4:59:49 PM,236,FALSE
269,1/4/2021,123,5:02:18 PM,5:02:18 PM,5:04:09 PM,111,TRUE
270,1/4/2021,124,5:15:48 PM,5:15:48 PM,5:18:30 PM,162,TRUE
271,1/4/2021,125,5:18:33 PM,5:18:33 PM,5:20:33 PM,120,TRUE
272,1/4/2021,126,5:19:11 PM,5:19:11 PM,5:33:27 PM,856,TRUE
273,1/4/2021,127,5:23:35 PM,5:23:35 PM,5:26:38 PM,183,TRUE
274,1/4/2021,128,5:23:47 PM,5:23:47 PM,5:23:48 PM,1,TRUE
275,1/4/2021,129,5:37:59 PM,5:37:59 PM,5:41:39 PM,220,TRUE
276,1/4/2021,130,5:45:22 PM,5:45:22 PM,5:48:17 PM,176,TRUE
277,1/4/2021,131,5:48:03 PM,5:48:03 PM,5:52:46 PM,283,TRUE
278,1/4/2021,132,5:51:44 PM,5:51:44 PM,5:56:53 PM,310,TRUE
279,1/4/2021,133,5:53:17 PM,5:53:17 PM,5:54:29 PM,71,TRUE
280,1/4/2021,134,5:54:12 PM,5:54:12 PM,5:59:57 PM,345,TRUE
281,1/4/2021,135,5:55:40 PM,5:55:40 PM,5:58:18 PM,158,TRUE
282,1/5/2021,1,8:00:00 AM,8:00:00 AM,8:04:43 AM,283,TRUE
283,1/5/2021,2,8:02:17 AM,8:02:17 AM,8:05:49 AM,211,TRUE
284,1/5/2021,3,8:06:13 AM,8:06:13 AM,8:07:57 AM,104,TRUE
285,1/5/2021,4,8:09:16 AM,8:09:16 AM,8:11:09 AM,112,TRUE
286,1/5/2021,5,8:10:48 AM,8:10:48 AM,8:11:43 AM,55,TRUE
287,1/5/2021,6,8:12:40 AM,8:12:40 AM,8:12:54 AM,14,TRUE
288,1/5/2021,7,8:14:29 AM,8:14:29 AM,8:24:27 AM,598,TRUE
289,1/5/2021,8,8:17:41 AM,8:17:41 AM,8:18:34 AM,53,TRUE
290,1/5/2021,9,8:21:26 AM,8:21:26 AM,8:28:55 AM,450,TRUE
291,1/5/2021,10,8:25:31 AM,8:25:31 AM,8:26:27 AM,56,TRUE
292,1/5/2021,11,8:34:24 AM,8:34:24 AM,8:39:34 AM,310,TRUE
293,1/5/2021,12,8:45:50 AM,8:45:50 AM,8:53:10 AM,439,TRUE
294,1/5/2021,13,8:48:28 AM,8:48:28 AM,8:50:43 AM,135,TRUE
295,1/5/2021,14,8:54:54 AM,8:54:54 AM,8:55:17 AM,23,TRUE
296,1/5/2021,15,9:03:10 AM,9:03:10 AM,9:08:13 AM,302,TRUE
297,1/5/2021,16,9:04:31 AM,9:04:31 AM,9:06:52 AM,140,TRUE
298,1/5/2021,17,9:07:26 AM,9:07:26 AM,9:15:20 AM,474,TRUE
299,1/5/2021,18,9:10:15 AM,9:10:15 AM,9:12:17 AM,122,TRUE
300,1/5/2021,19,9:17:55 AM,9:17:55 AM,9:31:25 AM,810,TRUE
301,1/5/2021,20,9:19:12 AM,9:19:12 AM,9:20:23 AM,70,TRUE
302,1/5/2021,21,9:23:04 AM,9:23:04 AM,9:25:52 AM,168,TRUE
303,1/5/2021,22,9:24:38 AM,9:24:38 AM,9:25:26 AM,47,TRUE
304,1/5/2021,23,9:39:30 AM,9:39:30 AM,9:39:37 AM,8,TRUE
305,1/5/2021,24,9:39:33 AM,9:39:33 AM,9:43:46 AM,253,TRUE
306,1/5/2021,25,9:40:06 AM,9:40:06 AM,9:58:30 AM,1104,TRUE
307,1/5/2021,26,9:53:25 AM,9:53:25 AM,10:05:47 AM,743,TRUE
308,1/5/2021,27,10:00:04 AM,10:00:04 AM,10:00:04 AM,0,TRUE
309,1/5/2021,28,10:00:15 AM,10:00:15 AM,10:00:38 AM,23,TRUE
